"Niveau 1
(Formulaire)";"Niveau 2
(Groupe)";"Niveau 3
(sous-groupe)";"Niveau 4
(sous-sous-groupe)";Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne de saisie MESRI existante;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;Evolution Min (alerte NBL);Evolution Max (alerte NBL);Granularité;Remarque
;;;;RecAut;Budg8;;Autres recettes;Other resources;Autres recettes;Other resources ;Autres : montant pour l’année de l’enquête des autres types de ressources régulières ou exceptionnelles.;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;10 000 000;N-Bl;;-40%;40%;SD;
;;;;RecTot;nouveau;;Total recettes hors MS;Total resources excl. PR;Total des recettes hors masse salariale;Total resources excluding payroll;;N;Calculée;RecDroitsbib + RecTutelle + RecCollTerr + RecAutMin + RecRessProp + RecAut;Non;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;;;;;;;SD;
;;;;RecSalTot;nouveau;;Total recettes avec MS;Total resources incl. PR;Total des recettes avec masse salariale;Total resources including payroll;;N;Calculée;RecDroitsbib + RecTutelle + RecCollTerr + RecAutMin + RecRessProp + RecAut + DepSalTit + DepSalNonTit + DepSalAut;Non;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;;;;;;;SD;
;dépenses;;;;;;;Expenses;;;;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;masse salariale;;;;;;Payroll (PR);;;;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;DepSalTit;Budg9;;MS titulaires;PR of tenured staff;Masse salariale personnels titulaires;Payroll of tenured staff ;Masse salariale des personnels titulaires : tenir compte des personnels fonctionnaires, quelle que soit la filière. Inclut les cotisations patronales.;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;20 000 000;N-Bl;;-20%;20%;SD;
;;;;DepSalNonTit;Budg10;;MS non-titulaires;PR of non-tenured staff;Masse salariale personnels non titulaires (contractuels, vacataires...);Non-tenured staff payroll (contract workers, temporary workers, etc.);Masse salariale des personnels non titulaires : tenir compte des autres personnels, vacataires ou contractuels. Inclut les cotisations patronales. Exclut la gratification des stagiaires.;N;Saisie;;libre;N;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;5 000 000;N-Bl;;-20%;20%;SD;
;;;;DepSalAut;Budg17;;Autre MS;Other PR;Autre masse salariale (subventions, dotations spécifiques);Other payroll (subsidies, specific grants);Autre masse salariale (subventions, dotations) : toute masse salariale qui n’est pas comptée dans Budg9 et Budg10. Peut concerner par exemple les dotations spécifiques pour monitorat étudiant.;N;Saisie;;libre;N;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;€;année civile;0;2 000 000;N-Bl;;-20%;20%;SD;Variable créée en 2015 - absente en 2013 et 2014 - les formules de calcul tiennent compte de cette variable et pourraient renvoyer une erreur pour 2013 et 2014
;;;;DepSalTot;nouveau;;Total MS;Total PR;Total de la masse salariale;Total payroll;;;Calculée;DepSalTit + DepSalNonTit + DepSalAut;Non;N;;;;;;;;dec2;€;année civile;;;;;;;SD;
;;autres dépenses;;;;;;Other expenses;;;;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
