"Niveau 1
(Formulaire)";"Niveau 2
(Groupe)";"Niveau 3
(sous-groupe)";"Niveau 4
(sous-sous-groupe)";Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne de saisie MESRI existante;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;Evolution Min (alerte NBL);Evolution Max (alerte NBL);Granularité;Remarque
;;;;UsVuesTheseNum;Us8;;Nombre d'unités vues ou téléchargées pour les thèses, HDR, mémoires numériques;Number of digitized doctoral or HDR theses, dissertations units viewed/downloaded  ;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;25 000 000;N-Bl;;-40%;40%;SD;
;;;;UsVuesArticleEtb;Us9;;Nombre d'unités vues ou téléchargées pour les articles scientifiques;Number of scholarly article units viewed/downloaded ;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;25 000 000;N-Bl;;-40%;40%;SD;
;Fréquentation en ligne;;;;;;;On-line visits;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;Site web;;;;;;Website;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;UsVisites;Pub1;;Visites virtuelles sur le site web de la bibliothèque (sur l'année civile);Virtual visits to library website (during calendar year);;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Visites;année civile;0;25 000 000;N-Bl;;-40%;40%;SD;
;;Portail documentaire;;;;;;Information portal;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;UsRecCat;Us10;;Nombre de requêtes dans le catalogue;Number of catalogue online queries;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;50 000 000;N-Bl;;-40%;40%;SD;
;;Service de référence en ligne;;;;;;Online reference desk;;;Non;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;UsQuestions;Us13;;Nombre de questions traitées par le service de référence en ligne;Number of questions treated by online reference service;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;25 000;N-Bl;;-40%;40%;SD;
Formation des usagers;;;;;;;;User training;;;Oui;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Formations dispensées hors cursus;;;;;;;Non-curriculum training;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;FormOutcursH;Us14;;Nombre d'heures dispensées;Number of hours provided;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;Heures;année civile;0;10 000;N-Bl;;-30%;30%;SD;
;;Nombre d’usagers concernés;;;;;;Number of users trained;;;Oui groupée;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;FormOutcursL;Us15;;Nombre d'usagers concernés : Etudiants en licence;Number of trainees: Undergraduate students;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Etudiants;année civile;0;10 000;N-Bl;;-30%;30%;SD;
;;;;FormOutcursM;Us16;;Nombre d'usagers concernés : Etudiants en master;Number of trainees: Masters' students;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Etudiants;année civile;0;5 000;N-Bl;;-30%;30%;SD;
;;;;FormOutcursD;Us17;;Nombre d'usagers concernés : Etudiants en doctorat;Number of trainees: Doctoral students;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Etudiants;année civile;0;5 000;N-Bl;;-30%;30%;SD;
;;;;FormOutcursAut;Us18;;Nombre d'usagers concernés : Autres personnes formées;Number of trainees: Other trained staff;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Usagers;année civile;0;10 000;N-Bl;;-30%;30%;SD;
;Formations dispensées dans les cursus;;;;;;;Training included in curricula;;;Oui groupée;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;FormIncursH;Us19;;Nombre d'heures dispensées;Number of hours provided;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;Heures;année civile;0;10 000;N-Bl;;-30%;30%;SD;
;;Nombre d’usagers concernés;;;;;;Number of users trained;;;Oi supra;;Titre N3;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;FormIncursL;Us20;;Nombre d'usagers concernés : Etudiants en licence;Number of trainees: Undergraduate students;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Etudiants;année civile;0;100 000;N-Bl;;-30%;30%;SD;
;;;;FormIncursM;Us21;;Nombre d'usagers concernés : Etudiants en master;Number of trainees: Masters' students;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Etudiants;année civile;0;10 000;N-Bl;;-30%;30%;SD;
;;;;FormIncursD;Us22;;Nombre d'usagers concernés : Etudiants en doctorat;Number of trainees: Doctoral students;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Etudiants;année civile;0;10 000;N-Bl;;-30%;30%;SD;
;;;;FormUsTot;nouveau;;Total usagers formés;Total users trained;;;SO;;Calculée;FormOutcursL + FormOutcursM + FormOutcursD + FormOutcursAut + FormIncursL + FormIncursM + FormIncursD;Non;;;;;;;;;entier;Usagers;année civile;;;;;;;SD;
;;;;FormEtudTot;nouveau;;Dont étudiants formés;of which, students trained;;;SO;;Calculée;FormOutcursL + FormOutcursM + FormOutcursD + FormIncursL + FormIncursM + FormIncursD;Non;;;;;;;;;entier;Etudiants;année civile;;;;;;;SD;
;;;;FormHTot;nouveau;;Nombre d'heures de formation dispensées;Number of hours training provided;;;SO;;Calculée;FormOutcursH + FormIncursH;Non;;;;;;;;;dec2;Heures;année civile;;;;;;;SD;
PEB;;;;;;;;ILL;;;Oui groupée;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;PebDExp;Us23;;Nombre de documents sur support d'autres bibliothèques demandés en PEB par les publics de la bibliothèque - (PEB DEMANDEUR - demandes expédiées);Number of documents from other libraries through library users' ILL requests- (ILL BORROWER - requests sent);;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;50 000;N-Bl;;-30%;30%;SD;
;;;;PebDSat;Us24;;Nombre de documents sur support d'autres bibliothèques demandés en PEB par les publics de la bibliothèque - (PEB DEMANDEUR - demandes expédiées et satisfaites);Number of documents from other libraries through library users' ILL requests- (ILL BORROWER - requests sent and filled);;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;50 000;N-Bl;;-30%;30%;SD;
;;;;PebFRecues;Us25;;Nombre de documents sur support de la bibliothèque demandés en PEB par les publics d'autres bibliothèques - (PEB FOURNISSEUR - demandes reçues);Number of documents from library collections through other libraries users' ILL requests- (ILL PROVIDER - requests received);;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;50 000;N-Bl;;-30%;30%;SD;
;;;;PebFSat ;Us26;;Nombre de documents sur support de la bibliothèque demandés en PEB par les publics d'autres bibliothèques - (PEB FOURNISSEUR - demandes reçues et satisfaites);Number of documents from library collections through other libraries users' ILL requests- (ILL PROVIDER - requests received and filled);;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;;année civile;0;50 000;N-Bl;;-30%;30%;SD;
Personnels;;;;;;;;Staff;;;Non;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;Effectifs de la structure (hors emploi étudiant) par catégorie et par filière;;;;;;;Workforce of structure by category and vocational branch (student jobs not included);;;Oui groupée;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;Filière bibliothèque;;;;;Library sector;;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;PersPP_BibA;Pers1;;effectif de catégorie A ou cadre - Filière bibliothèques;Category A or executive - library sector;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_BibB;Pers6;;effectif de catégorie B (si distinction B/C pertinente) - Filière bibliothèques;Category B staff (if B/C distinction relevant) - library sector;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_BibC;Pers11;;effectif de catégorie C (si distinction B/C pertinente) - Filière bibliothèques;Category C staff (if B/C distinction relevant) - library sector;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_BibBC;Pers16;;effectifs de catégorie B ou C (si distinction B/C non-pertinente) - Filière bibliothèques;Category B or C staff (if B/C distinction irrelevant) - library sector;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_BibTot;nouveau;;total filière bibliothèque;total library sector;;;SO;;Calculée;PersPP_BibA + PersPP_BibB + PersPP_BibC + PersPP_BibBC;Non;;;;;;;;;entier;PP;31-12;;;;;;;SD;
;;;Filière ITRF BAP F;;;;;ITRF BAP F branch;;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;PersPP_ITRFA;Pers2;;effectif de catégorie A ou cadre - Filière ITRF BAP F;Category A or executive - ITRF BAP F branch;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_ITRFB;Pers7;;effectif de catégorie B (si distinction B/C pertinente) - Filière ITRF BAP F;Category B staff (if B/C distinction relevant) - ITRF BAP F branch;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_ITRFC;Pers12;;effectif de catégorie C (si distinction B/C pertinente) - Filière ITRF BAP F;Category C staff (if B/C distinction relevant) - ITRF BAP F branch;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_ITRFBC;Pers17;;effectifs de catégorie B ou C (si distinction B/C non-pertinente) - Filière ITRF BAP F;Category B or C staff (if B/C distinction irrelevant) - ITRF BAP F branch;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_ITRFTot;nouveau;;total filière ITRF BAP F;total ITRF BAP F branch;;;SO;;Calculée;PersPP_ITRFA + PersPP_ITRFB + PersPP_ITRFC + PersPP_ITRFBC;Non;;;;;;;;;entier;PP;31-12;;;;;;;SD;
;;;Autres filières FP;;;;;Other civil service branches;;;Oui;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;PersPP_AutA;Pers3;;effectif de catégorie A ou cadre - Filière Autres filières de la fonction publique;Category A or executive - Branch: Other branches  of civil service;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_AutB;Pers8;;effectif de catégorie B (si distinction B/C pertinente) - Filière Autres filières de la fonction publique;Category B staff (if B/C distinction relevant) - Branch: Other branches  of civil service;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_AutC;Pers13;;effectif de catégorie C (si distinction B/C pertinente) - Filière Autres filières de la fonction publique;Category C staff (if B/C distinction relevant) - Branch: Other branches  of civil service;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_AutBC;Pers18;;effectifs de catégorie B ou C (si distinction B/C non-pertinente) - Filière Autres filières de la fonction publique;Category B or C staff (if B/C distinction irrelevant) - Branch: Other branches  of civil service;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-20%;20%;SD;
;;;;PersPP_AutTOT;nouveau;;total autres filières de la FP;total other branches of CS;;;SO;;Calculée;PersPP_AutA + PersPP_AutB + PersPP_AutC + PersPP_AutBC;Non;;;;;;;;;entier;PP;31-12;;;;;;;SD;
;;;CDD;;;;;Tempory contract workers;;;Oui groupée avec CDI;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;PersPP_CDDA;Pers4;;effectif de catégorie A ou cadre - CDD;Number of category A or executives - temporary contract;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-30%;30%;SD;
;;;;PersPP_CDDB;Pers9;;effectif de catégorie B (si distinction B/C pertinente) - CDD;Number of category B (if B/C distinction  relevant) - temporary contract;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-30%;30%;SD;
;;;;PersPP_CDDC;Pers14;;effectif de catégorie C (si distinction B/C pertinente) - CDD;Number of category C (if B/C distinction  relevant) - temporary contract;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-30%;30%;SD;
;;;;PersPP_CDDBC;Pers19;;effectifs de catégorie B ou C (si distinction B/C non-pertinente) - CDD;Number of category B or C (if B/C distinction  irrelevant) - temporary contract;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-30%;30%;SD;
;;;;PersPP_CDDTot;nouveau;;total CDD;total temporary contract workers;;;SO;;Calculée;PersPP_CDDA + PersPP_CDDB + PersPP_CDDC + PersPP_CDDBC;Non;;;;;;;;;entier;PP;31-12;;;;;;;SD;
;;;CDI;;;;;Permanent contract workers;;;Oui groupée avec CDD;;Titre N4;;Non;;;;;;;;;Intitulé colonne;;;;;;;;;SD;
;;;;PersPP_CDIA;Pers5;;effectif de catégorie A ou cadre - CDI;Number of category A or executives - permanent contract;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-30%;30%;SD;
;;;;PersPP_CDIB;Pers10;;effectif de catégorie B (si distinction B/C pertinente) - CDI;Number of category B (if B/C distinction  relevant) - permanent contract;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-30%;30%;SD;
;;;;PersPP_CDIC;Pers15;;effectif de catégorie C (si distinction B/C pertinente) - CDI;Number of category C (if B/C distinction  relevant) - permanent contract;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-30%;30%;SD;
;;;;PersPP_CDIBC;Pers20;;effectifs de catégorie B ou C (si distinction B/C non-pertinente) - CDI;Number of category B or C (if B/C distinction  irrelevant) -permanent contract;;;Non;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;31-12;0;100;N-Bl;;-30%;30%;SD;
;;;;PersPP_CDITot;nouveau;;total CDI;total permanent contract workers;;;SO;;Calculée;PersPP_CDIA + PersPP_CDIB + PersPP_CDIC + PersPP_CDIBC;Non;;;;;;;;;entier;PP;31-12;;;;;;;SD;
;;;;PersPP_Tot;nouveau;;Total PP toutes catégories;total staff, all categories;;;SO;;Calculée;PersPP_BibA + PersPP_BibB + PersPP_BibC + PersPP_BibBC + PersPP_ITRFA + PersPP_ITRFB + PersPP_ITRFC + PersPP_ITRFBC + PersPP_AutA + PersPP_AutB + PersPP_AutC + PersPP_AutBC + PersPP_CDDA + PersPP_CDDB + PersPP_CDDC + PersPP_CDDBC + PersPP_CDIA + PersPP_CDIB + PersPP_CDIC + PersPP_CDIBC;Non;;;;;;;;;entier;PP;31-12;;;;;;;;
;Emploi étudiant;;;;;;;Student jobs;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;PersPP_Etud;Pers 21;;Effectif d'étudiants employés au cours de l'année en personnes physiques;no. students employed during the year in physical persons;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;PP;année civile;0;500;N-Bl;;-30%;30%;SD;
;;;;PersETPT_Etud;Pers 22;;Effectif d'étudiants employés au cours de l'année en ETPT;no. students employed during the year in full-time equivalent;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-50%;50%;SD;
;Formation continue;;;;;;;Continued education;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;PersFormH;Pers 23;;Nombre d'heures effectuées au titre de la formation continue par les personnels du service, au cours de l'année civile;No. of  hours of continued education followed by entity staff during calendar year;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;entier;Heures;année civile;0;25 000;N-Bl;;-30%;30%;SD;
;Activités / Fonctions des personnels;;;;;;;Staff activities/positions;;;Oui;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;SD;
;;;;Activite1;Pers 24;;Bibliothèques et centres documentaires : accueil, information, renseignement;Libraries and doc. centres: reception, information;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite2;Pers 25;;Services de fourniture documentaire (prêt, communication sur place, PEB/FDD, numérisation à la demande, fourniture de ressources numériques, etc.);Library service provision (loans, on the spot communication, ILL/document supply, on demand digitization, supply of digital materials, etc.);;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite3;Pers 26;;Formation des usagers / Ingénierie pédagogique;Training of users / instructional design;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite4;Pers 27;;Acquisition et traitement de ressources sur support analogique;Acquisition and processing of resources on analogical media ;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite5;Pers 28;;Fourniture et développement de services et ressources numériques;Digital resources/service supply & development;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite6;Pers 29;;Archives ouvertes et institutionnelles;Open and institutional archives;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite7;Pers 30;;Bibliométrie;Bibliometrics;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite8;Pers 31;;Ingénierie de l'information / systèmes d'information;Information/systems engineering;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite9;Pers 32;;Actions culturelles;Cultural activities;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite10;Pers 33;;Coopérations et partenariats nationaux, internationaux;National / international cooperation & partnerships;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite11;Pers 34;;Veille (professionnelle, scientifique, stratégique);Professional, scholarly, strategic monitoring ;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite12;Pers 35;;Editions;Publishing;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite13;Pers 36;;Traitement et valorisation des données issues de la recherche;Research data processing & management;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;Activite14;Pers 37;;Fonctions support : encadrement, pilotage, gestion de projet;Support functions : staff supervision, steering activities, project management;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-5%;5%;SD;
;;;;Activite15;Pers 38;;Fonctions support : GRH/GFC, immobilier, informatique;Support functions : HR, Accounting & finances, property, computing;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-5%;5%;SD;
;;;;Activite16;Pers 40;;Communication;Communication;;;Oui;N;Saisie;;libre;;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;ActiviteAut;Pers 39;;Autres;Other;;;Oui;N;Saisie;;libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;dec2;ETPT;année civile;0;100;N-Bl;;-10%;10%;SD;
;;;;ActivitePrec;nouveau;;Préciser;Give details;;;Non;N;Saisie;;libre;;;;;;;;;Texte;;;;;;;;;SD;
;;;;ActiviteTOT;nouveau;;Total ETPT activités/fonctions des personnels;Total full-time equivalent activities/staff functions;;;SO;;Calculée;Activite1 + Activite2 + Activite3 + Activite4 + Activite5 + Activite6 + Activite7 + Activite8 + Activite9 + Activite10 + Activite11 + Activite12 + Activite13 + Activite14 + Activite15 + Activite16 + ActiviteAut + ActivitePrec;Non;;;;;;;;;dec2;ETPT;année civile;;;;;;;SD;
Bibliothèques - Informations générales;;;;;;;;Libraries - General information;;;Oui;;Titre N1;;Non;;;;;;;;;Intitulé;;;;;;;;;Bib;
;Description;;;;;;;Description;;;Non;;Titre N2;;Non;;;;;;;;;Intitulé;;;;;;;;;Bib;
;;;;BibNom;B1B1;;Nom;Name;;;Oui;O;Saisie;;Libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;Texte;;SO;;;;;;;Bib;
;;;;BibType;B1B2;;Type de bibliothèque;Library type;Type : associée (au sens de l'article 4 du décret n°2011-996 du 23 août 2011) / autre;Type: associated (under article 4 of decree n°2011-996 of August 23rd 2011)/other;Oui;O;Saisie;;Liste non modifiable choix unique;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;Texte;;31-12;;;;;;;Bib;"Cette variable peut prendre deux valeurs (""associée"" / ""autre""). En 2013 et  2014, les valeurs possibles étaient ""intégrée""/ ""associée"" / ""ne s'applique pas"""
;;;;BibFictive;nouveau;;Bibliothèque fictive;Shadow library;"La bibliothèque est-elle ""fictive"" ? (elle mentionne les données communes à l'ensemble des bibliothèques et qui ne peuvent être rattachées à l'une de ces bibliothèques)";"Does the library act as a ""shadow library""? (i.e., does it index data shared by all libraries that cannot be linked to a single library?)";Non;O;Saisie;;case à cocher;;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;boolean;;31-12;;;;;;;Bib;Valeur par défaut = false
;;;;BibAdresse;B1B3;;Adresse géographique (sans Cedex, ni BP …);Address (without cedex or PO box code);;;Oui groupée;O;Saisie;;Libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;Texte;;31-12;;;;;;;Bib;
;;;;BibCP;B1B4;;Code postal;Postal code;;;Oui groupée;O;Saisie;;Libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;Texte;;31-12;;;;;;;Bib;
;;;;BibVille;B1B5;;Ville;City;;;Oui groupée;O;Saisie;;Libre;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;Texte;;31-12;;;;;;;Bib;
;;;;BibDroit;B1B6;;Profil disciplinaire Droit, Sciences politiques;Disciplines - Law, Political sciences;;;Oui groupée;O;Saisie;;case à cocher;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;boolean;;31-12;;;;;;;Bib;
;;;;BibEco;B1B7;;Profil disciplinaire Economie, AES;Disciplines - Economics, Business Administration;;;Oui groupée;O;Saisie;;case à cocher;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;boolean;;31-12;;;;;;;Bib;
;;;;BibLSH;B1B8;;Profil disciplinaire Lettres, Sciences Humaines;Disciplines - Literature & Humanities;;;Oui groupée;O;Saisie;;case à cocher;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;boolean;;31-12;;;;;;;Bib;à fermer
;;;;BibLitt;nouveau;;Profil disciplinaire Langues et littératures;Discipline Languages, Literature;;;Oui groupée;O;Saisie;;case à cocher;;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;boolean;;31-12;;;;;;;Bib;nouvelle
;;;;BibSHSArts;nouveau;;Profil disciplinaire Sciences humaines, Arts;Disciplines - Humanities, Arts;;;Oui groupée;O;Saisie;;case à cocher;;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;boolean;;31-12;;;;;;;Bib;nouvelle
;;;;BibScStaps;B1B9;;Profil disciplinaire Sciences, Staps;Disciplines - Science, Sports science;;;Oui groupée;O;Saisie;;case à cocher;;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;boolean;;31-12;;;;;;;Bib;à fermer
